NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL,REGION,REGION_S
ЭК,11/2016,UA,15,NA,67771.46,78357.39,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,AB,15,NA,14284.44,4593,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,UZ,15,NA,1208913.46,1336201.86,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,AB,15,NA,36854.88,39490.58,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,UA,84,NA,72692.01,13400,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,10/2016,CH,39,NA,162231.94,17600,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,DE,39,NA,18335.32,4885.98,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,AM,39,NA,19057.01,11800.23,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,11/2016,BY,84,NA,39195.88,23193.08,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,EG,84,NA,31109.22,32870,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,10/2016,PL,39,NA,29953.26,17e3,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,10/2016,US,85,NA,3738.68,1.42,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,GE,19,NA,8978.29,4300,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,AB,63,NA,620.95,273,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
