NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ИМ,12/2016,TW,82,,8455.06,799.04,0
ИМ,12/2016,VN,63,,242.63,71.53,0
ИМ,12/2016,IN,82,,2116.19,302.98,0
ЭК,12/2016,FR,33,,275220,3960,0
ИМ,12/2016,CN,61,,2725.4,123.5,0
ИМ,11/2016,CH,48,,381.51,0.11,0
ЭК,10/2016,UA,22,,7848.23,29021.8,0
ЭК,11/2016,AB,28,,2998.59,17400,0
ЭК,11/2016,BY,28,,135.29,24.8,0
ИМ,11/2016,DE,73,,1829585.57,64483,0
ИМ,10/2016,UZ,12,,22663,17986,0
ЭК,11/2016,AM,38,,1083.09,2614.68,0
ЭК,12/2016,GE,38,,3795.22,9524.59,0
ЭК,10/2016,KZ,04,,3904.4,560.42,0
ЭК,10/2016,UA,38,,4073.97,6779.85,0
ЭК,11/2016,IL,38,,222923,574140,0
ИМ,10/2016,IT,73,,3319.81,46.28,0
ИМ,10/2016,DE,73,,265.96,1.95,0
ИМ,11/2016,TR,73,,4405,1009.32,0
ЭК,10/2016,AB,04,,186377.87,176215,0
ЭК,10/2016,UA,34,,11913.73,17071.18,0
ЭК,10/2016,KG,34,,4984.59,6013.18,0
ЭК,12/2016,DE,44,,29904.9,20348,0
ЭК,10/2016,UA,10,,94.04,161,0
ЭК,11/2016,UA,10,,15236.81,22738.8,0
ЭК,12/2016,LV,72,,86200,1e5,0
ИМ,12/2016,TR,70,,20851.53,16072.34,0
ИМ,12/2016,CZ,70,,32111.2,7840.86,0
ИМ,12/2016,CN,70,,4723.82,414.11,0
ИМ,12/2016,CN,62,,22925.83,1227.42,0
ЭК,12/2016,GE,32,,2268.96,2676,0
ИМ,11/2016,ES,68,,28347.01,23320,0
ИМ,10/2016,DE,68,,22998.99,36359,0
ИМ,12/2016,DE,68,,11257.48,17943,0
ИМ,12/2016,CH,69,,757.67,0.56,0
ИМ,10/2016,BY,69,,39151.38,1241.07,0
ИМ,11/2016,BY,69,,16723.28,8983.15,0
ИМ,12/2016,PL,49,,9.68,38.33,0
ИМ,11/2016,CH,74,,303.39,0.59,0
ИМ,12/2016,IT,40,,609.56,179.2,0
ИМ,12/2016,AB,08,,3973.26,2046,0
ИМ,11/2016,CL,08,,70514.84,1e4,0
ЭК,10/2016,BY,25,,6.52,49.6,0
ЭК,12/2016,GB,09,,4615,24e3,0
ИМ,12/2016,CN,42,,190.04,25.1,0
ЭК,11/2016,AM,39,,277.1,51.47,0
ЭК,11/2016,BY,39,,114.07,9.81,0
ИМ,12/2016,BY,84,,85653.48,59691.88,0
ИМ,10/2016,CN,84,,83194,75e3,0
ИМ,10/2016,BY,84,,94437.81,75742.28,0
ИМ,12/2016,DE,84,,14135.66,43.59,0
ИМ,12/2016,AT,85,,1068.93,8.86,0
ИМ,11/2016,CN,85,,445,1.8,0
ИМ,12/2016,UA,39,,14110.39,4845.81,0
ИМ,11/2016,CH,59,,1833.05,0.44,0
ЭК,10/2016,AB,85,,7716.61,2520,0
ИМ,12/2016,CN,85,,3041.89,257.57,0
ЭК,10/2016,BY,85,,7267.1,90.85,0
ИМ,12/2016,BY,33,,40148.47,2918.71,0
ЭК,11/2016,UA,33,,361.51,244.44,0
ИМ,11/2016,BY,33,,25326.32,2059.8,0
